id,category,question,answer,top_similarity,precision_at_k,mrr,ndcg_at_k,chunk_coverage,faithfulness,answer_relevancy,rouge_l,completeness,is_zero_result,response_ms,confusion_label
GP044,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Di chứng nhồi máu não (Bán thân bất hoại) thể Can thận âm hư theo y học cổ truyền?","**Nguyên nhân**

Theo y học cổ truyền, Di chứng nhồi máu não (Bán thân bất hoại) thể Can thận âm hư được coi là một chứng bệnh thuộc về âm hư hỏa vượng. Nguyên nhân của chứng bệnh này có thể do:

* Dương suy âm thịnh: Khi dương khí suy thoái, âm khí trở nên thịnh hành, dẫn đến sự mất cân bằng âm dươ",0.6727,0.2,0.5,0.6309,0.4,0.77,0.5,0.1631,0.9939,0,20063,correct
GP045,tieu_hoa,Bệnh Di chứng nhồi máu não (Bán thân bất hoại) thể Phong đàm có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Di chứng nhồi máu não (Bán thân bất hoại) thể Phong đàm là một tình trạng bệnh lý nghiêm trọng, trong đó có sự tích tụ của phong và đàm trong não, dẫn đến các triệu chứng như:

- Đau đầu dữ dội
- Chóng mặt
- Đau nhức ở các phần của cơ thể
- Suy giảm khả năng vận động
- Suy giảm trí nhớ và khả n",0.6577,0.0,0.0,0.0,0.6,0.8154,0.5,0.2448,0.86,0,20566,correct
GP046,ho_hap,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Di chứng nhồi máu não (Bán thân bất hoại) thể Khí hư huyết ứ theo y học cổ truyền?","**Nguyên nhân:**

Theo y học cổ truyền, Di chứng nhồi máu não (Bán thân bất hoại) thể Khí hư huyết ứ được coi là một chứng bệnh về huyết, cụ thể là chứng huyết ứ do khí hư. Nguyên nhân của chứng này có thể là do:

* Khí hư: Là tình trạng khí không lưu thông được trong cơ thể, dẫn đến tình trạng huyế",0.6435,0.0,0.0,0.0,0.4,0.8441,0.5,0.1547,1.0,0,14939,correct
GP047,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bại não trẻ em (Ngũ trì) thể Can thận bất túc theo y học cổ truyền?","Bại não trẻ em (Ngũ trì) thể Can thận bất túc là một bệnh lý thuộc trường hợp Can thận bất túc, một trong những nguyên nhân dẫn đến bệnh Bại não trẻ em. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này theo y học cổ truyền:

**Nguyên nhân:**

Theo y học cổ truyền, Can thận bất túc",0.5859,0.0,0.0,0.0,0.4,0.7538,0.5,0.1115,1.0,0,17970,correct
GP048,tuan_hoan_than_kinh,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bại não trẻ em (Ngũ trì) thể Tâm tỳ hư theo y học cổ truyền?","Bại não trẻ em (Ngũ trì) thể Tâm tỳ hư là một chứng bệnh trong y học cổ truyền Việt Nam, được mô tả như sau:

**Nguyên nhân:**

Bại não trẻ em thể Tâm tỳ hư thường do các nguyên nhân sau:

* Tâm tỳ hư tổn: Tâm và tỳ là hai cơ quan quan trọng trong cơ thể, chịu trách nhiệm về tâm trí và tiêu hóa. Khi",0.5321,0.0,0.0,0.0,0.4,0.5798,0.5,0.1097,1.0,0,19972,correct
GP049,tuan_hoan_than_kinh,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bại não trẻ em (Ngũ trì) thể Đàm ứ trở trệ theo y học cổ truyền?","Bại não trẻ em (Ngũ trì) thể Đàm ứ trở trệ là một chứng bệnh trong y học cổ truyền Việt Nam, được mô tả như sau:

**Nguyên nhân:**

Theo y học cổ truyền, Bại não trẻ em thể Đàm ứ trở trệ thường do các nguyên nhân sau:

* Đàm thấp trọc gây nên, làm cho các chất độc tích tụ trong cơ thể, ảnh hưởng đến",0.5507,0.0,0.0,0.0,0.4,0.84,0.5,0.2603,1.0,0,19012,correct
GP050,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Di chứng viêm não do virus (Ôn bệnh) thể Âm hư theo y học cổ truyền?","**Nguyên nhân:**

Theo y học cổ truyền, Di chứng viêm não do virus (Ôn bệnh) thể Âm hư được xem là một loại bệnh thuộc về ""Âm hư"". Nguyên nhân của bệnh này có thể được giải thích như sau:

* ""Âm hư"" là một trạng thái của cơ thể khi mà âm khí (khí âm) bị suy yếu, không đủ để bảo vệ cơ thể khỏi tác độ",0.53,0.0,0.0,0.0,0.4,0.8061,0.5,0.1272,1.0,0,17146,correct
GP051,tuan_hoan_than_kinh,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Di chứng viêm não do virus (Ôn bệnh) thể Khí âm lưỡng hư (khí huyết hư) theo y học cổ truyền?","**Nguyên nhân:**
Bệnh Di chứng viêm não do virus (Ôn bệnh) thể Khí âm lưỡng hư (khí huyết hư) là một tình trạng bệnh lý phức tạp, trong đó cơ thể bị nhiễm virus và dẫn đến viêm não. Nguyên nhân chính là do virus xâm nhập vào não và gây viêm, làm tổn thương các tế bào não và dẫn đến sự mất cân bằng c",0.6072,0.0,0.0,0.0,0.4,0.7849,0.6667,0.1523,1.0,0,20284,correct
GP052,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Suy dinh dưỡng thể Marasmus (Cam tích) thể Cam khí (Tỳ hư) theo y học cổ truyền?","Bệnh Suy dinh dưỡng thể Marasmus (Cam tích) thể Cam khí (Tỳ hư) là một loại bệnh suy dinh dưỡng nghiêm trọng, đặc trưng bởi tình trạng mất cơ bắp và suy giảm chức năng của các cơ quan. Theo y học cổ truyền, bệnh này được mô tả như sau:

**Nguyên nhân:**

Bệnh Suy dinh dưỡng thể Marasmus (Cam tích) t",0.6193,0.0,0.0,0.0,0.4,0.8157,0.6667,0.1358,1.0,0,24252,correct
GP053,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Suy dinh dưỡng thể Marasmus (Cam tích) thể Cam tích theo y học cổ truyền?","Suy dinh dưỡng thể Marasmus (Cam tích) là một dạng suy dinh dưỡng nghiêm trọng, đặc trưng bởi tình trạng mất cơ bắp và cơ thể trở nên gầy gò, nhăn nheo. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Suy dinh dưỡng thể Marasmus (Cam tích) theo y học cổ truyền:

**Nguyên nhân:**

The",0.5784,0.0,0.0,0.0,0.4,0.662,0.5,0.157,1.0,0,21135,correct
GP054,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Suy dinh dưỡng thể Marasmus (Cam tích) thể Can cam (Khí huyết hư) theo y học cổ truyền?","Suy dinh dưỡng thể Marasmus (Cam tích) thể Can cam (Khí huyết hư) là một dạng suy dinh dưỡng nghiêm trọng, đặc trưng bởi tình trạng thiếu hụt calo và protein nghiêm trọng, dẫn đến suy giảm chức năng của các cơ quan và hệ thống trong cơ thể. Theo y học cổ truyền, nguyên nhân của bệnh này được giải th",0.6492,0.0,0.0,0.0,0.4,0.711,0.6667,0.1185,1.0,0,23150,correct
GP055,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Viêm dạ dày và tá tràng (Vị quản thống) thể Khí trệ theo y học cổ truyền?","Viêm dạ dày và tá tràng (Vị quản thống) thể Khí trệ là một chứng bệnh trong y học cổ truyền Việt Nam, được mô tả như sau:

**Nguyên nhân:**

Viêm dạ dày và tá tràng thể Khí trệ thường do sự tích tụ của khí trệ trong dạ dày và tá tràng, dẫn đến tổn thương niêm mạc và viêm nhiễm. Nguyên nhân có thể ba",0.6132,0.0,0.0,0.0,0.4,0.6923,0.5,0.1187,1.0,0,20466,correct
GP056,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Viêm dạ dày và tá tràng (Vị quản thống) thể Hỏa uất theo y học cổ truyền?","Theo y học cổ truyền, Viêm dạ dày và tá tràng (Vị quản thống) thể Hỏa uất là một loại bệnh do Hỏa uất (thực quản thống) gây ra, ảnh hưởng đến dạ dày và tá tràng.

**Nguyên nhân:**

Theo y học cổ truyền, nguyên nhân của Viêm dạ dày và tá tràng thể Hỏa uất bao gồm:

* Hỏa uất (thực quản thống) gây ra ",0.6186,0.0,0.0,0.0,0.2,0.7137,0.5,0.1463,1.0,0,24960,correct
GP057,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Viêm dạ dày và tá tràng (Vị quản thống) thể Huyết ứ theo y học cổ truyền?","Viêm dạ dày và tá tràng (Vị quản thống) thể Huyết ứ theo y học cổ truyền là một chứng bệnh do sự tích tụ của máu trong dạ dày và tá tràng, gây ra các triệu chứng như:

- Bụng dưới đầy đau, đau âm ỉ
- Tiểu tiện không lợi, đại tiện phân màu đen
- Sốt cao, bứt rứt
- Bụng dưới đầy trướng đau, có hòn cục",0.6962,0.4,0.3333,0.5706,0.4,0.8614,0.5,0.2765,1.0,0,19295,correct
GP058,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Viêm dạ dày và tá tràng (Vị quản thống) thể Tỳ vị hư hàn theo y học cổ truyền?","Viêm dạ dày và tá tràng (Vị quản thống) thể Tỳ vị hư hàn là một chứng bệnh được mô tả trong Y học cổ truyền Việt Nam. Dưới đây là nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Theo Y học cổ truyền, Viêm dạ dày và tá tràng thể Tỳ vị hư hàn được gây ra bởi sự hư hàn của Tỳ vị (",0.6841,0.4,1.0,0.8503,0.2,0.7563,0.5,0.2122,1.0,0,15978,correct
GP059,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Viêm gan virus mạn (Hiếp thống) thể Khí ngưng theo y học cổ truyền?","Viêm gan virus mạn (Hiếp thống) thể Khí ngưng là một loại bệnh lý phức tạp, được mô tả trong y học cổ truyền Việt Nam. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Theo y học cổ truyền, Viêm gan virus mạn thể Khí ngưng được gây ra bởi sự tích tụ của khí ngư",0.5439,0.0,0.0,0.0,0.4,0.6645,0.5,0.1317,1.0,0,20162,correct
GP060,xuong_khop,Bệnh Viêm gan virus mạn (Hiếp thống) thể Huyết ứ có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Viêm gan virus mạn (Hiếp thống) thể Huyết ứ là một dạng bệnh lý về gan do virus gây ra, đặc trưng bởi sự tích tụ của chất béo và các tế bào gan bị tổn thương. Biểu hiện lâm sàng của bệnh này bao gồm:

- Sưng và đau bụng
- Mệt mỏi và giảm khả năng tập trung
- Sốt và đau đầu
- Mất thèm ăn và giảm",0.6642,0.0,0.0,0.0,0.4,0.7677,0.5,0.1508,0.8983,0,19141,correct
GP061,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Viêm gan virus mạn (Hiếp thống) thể Can đởm thấp nhiệt theo y học cổ truyền?","Viêm gan virus mạn (Hiếp thống) thể Can đởm thấp nhiệt là một bệnh lý phức tạp, được mô tả trong y học cổ truyền Việt Nam. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Theo y học cổ truyền, Viêm gan virus mạn thể Can đởm thấp nhiệt thường do sự mất cân bằng",0.6192,0.0,0.0,0.0,0.2,0.5724,0.5,0.1124,1.0,0,12374,correct
GP062,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Viêm gan virus mạn (Hiếp thống) thể Âm hư nội nhiệt theo y học cổ truyền?","Bệnh Viêm gan virus mạn (Hiếp thống) thể Âm hư nội nhiệt theo y học cổ truyền được mô tả như sau:

**Nguyên nhân:**

Bệnh Viêm gan virus mạn thể Âm hư nội nhiệt thường do sự mất cân bằng của âm và dương trong cơ thể, dẫn đến âm hư và nhiệt tích tụ trong gan. Nguyên nhân có thể bao gồm:

* Mất cân bằ",0.5853,0.2,0.5,0.6309,0.4,0.738,0.5,0.2566,1.0,0,16991,correct
GP063,ho_hap,Bệnh Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn) thể Phong nhiệt có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh phổi tắc nghẽn mạn tính (COPD) hay còn gọi là khái suyễn là một tình trạng bệnh lý về phổi, trong đó phổi bị tắc nghẽn do các mảnh vỡ tế bào và chất nhầy tích tụ. Biểu hiện lâm sàng của bệnh này bao gồm:

- Ho lâu ngày, thường xuyên
- Khó thở khi vận động hoặc gắng sức
- Sốt, ho, hoại tử khi mắ",0.6831,0.2,1.0,1.0,0.4,0.71,0.3333,0.3521,0.947,0,18009,correct
GP064,ho_hap,Bệnh Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn) thể Phong hàn có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn) thể Phong hàn có các biểu hiện lâm sàng như:

- Sốt cao, ho nhiều, khó thở
- Máu ho có màu vàng hoặc màu đỏ
- Sắc mặt ảm đạm, da dẻ khô ráo, thô ráp
- Rêu trắng, lưỡi nhạt
- Biểu hiện chứng mạch tượng trì tế, hư hàn

Để điều trị bệnh này, có thể sử dụ",0.6082,0.0,0.0,0.0,0.4,0.8974,0.3333,0.3473,0.8965,0,17911,correct
GP065,ho_hap,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn) thể Khí táo theo y học cổ truyền?","Bệnh phổi tắc nghẽn mạn tính (COPD) hay còn gọi là Khái suyễn theo y học cổ truyền, là một chứng bệnh về phổi tiến triển theo thời gian, gây khó thở và suy giảm khả năng hô hấp. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này theo y học cổ truyền:

**Nguyên nhân:**

Theo y học cổ",0.6279,0.0,0.0,0.0,0.4,0.8387,0.1667,0.306,1.0,0,22217,partial
GP066,tieu_hoa,Bệnh Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn) thể Đàm thấp có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh phổi tắc nghẽn mạn tính (COPD) hoặc khái suyễn là một tình trạng bệnh lý nghiêm trọng ảnh hưởng đến hô hấp, đặc biệt là phổi. Trong trường hợp này, tôi sẽ trả lời dựa trên thông tin liên quan đến ""Đàm thấp"" và các bài thuốc liên quan.

Đàm thấp là một trạng thái bệnh lý trong Đông y, được đặc t",0.6648,0.2,0.5,0.6309,0.4,0.8055,0.3333,0.26,1.0,0,19418,correct
GP067,ho_hap,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bệnh phổi tắc nghẽn mạn tính (COPD) (Khái suyễn) thể Thủy ẩm (hàn ẩm) theo y học cổ truyền?","Bệnh phổi tắc nghẽn mạn tính (COPD) thể Thủy ẩm (hàn ẩm) theo y học cổ truyền được mô tả như sau:

**Nguyên nhân:**

Bệnh phổi tắc nghẽn mạn tính thể Thủy ẩm (hàn ẩm) được xem là do sự kết hợp của các yếu tố như:

* Ngoại cảm phong tà
* Phế khí không thông
* Đàm ứ trệ tại phế
* Tỳ vị rối loạn, tỳ th",0.6444,0.0,0.0,0.0,0.4,0.8448,0.5,0.4097,0.9278,0,23868,correct
GP068,tieu_hoa,Bệnh Màn đay (Ẩn chẳn) thể Phong hàn có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Màn đay (Ẩn chẳn) thể Phong hàn là một loại bệnh thuộc nhóm phong hàn, có biểu hiện lâm sàng như sau:

- Đau nhức mình mẩy, lưng gối nhức mỏi
- Cơ khớp tê dại hoặc sưng nóng đỏ đau
- Hoạt động khó khăn

Để điều trị bệnh Màn đay (Ẩn chẳn) thể Phong hàn, có thể sử dụng bài thuốc Xuyên khung trà đ",0.6524,0.2,0.3333,0.5,0.4,0.8488,0.5,0.4208,0.9,0,19481,correct
GP069,tieu_hoa,Bệnh Màn đay (Ẩn chẳn) thể Phong nhiệt có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Màn đay (Ẩn chẳn) thể Phong nhiệt là một chứng bệnh thuộc phạm vi của Y học cổ truyền Việt Nam, được mô tả trong các tài liệu cổ điển. Dưới đây là các biểu hiện lâm sàng và cách điều trị:

Biểu hiện lâm sàng:

- Màn đay (Ẩn chẳn) thể Phong nhiệt thường xuất hiện ở người trẻ, đặc biệt là trẻ em.",0.6284,0.0,0.0,0.0,0.6,0.6502,0.5,0.1443,1.0,0,12894,correct
GP070,tieu_hoa,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Màn đay (Ẩn chẳn) thể Huyết hư phong táo theo y học cổ truyền?","Bệnh Màn đay (Ẩn chẳn) thể Huyết hư phong táo là một chứng bệnh thuộc phạm vi phong thấp nhiệt, được mô tả trong Y học cổ truyền Việt Nam. Dưới đây là mô tả nguyên nhân, triệu chứng và phép trị cho bệnh này:

**Nguyên nhân:**

Nguyên nhân của bệnh Màn đay (Ẩn chận) thể Huyết hư phong táo là do Huyết",0.6562,0.0,0.0,0.0,0.4,0.7695,0.5,0.2636,1.0,0,18523,correct
GP071,tiet_nieu_sinh_duc,Bệnh Bí đái cơ năng (Long bế) thể Bàng quang thấp nhiệt có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?,"Bệnh Bí đái cơ năng (Long bế) thể Bàng quang thấp nhiệt là một chứng bệnh liên quan đến hệ tiết niệu, đặc biệt là bàng quang. Chứng bệnh này thường biểu hiện bởi các triệu chứng như:

- Đau nhức vùng bụng dưới, đặc biệt là vùng bàng quang
- Tiểu tiện khó khăn, đau đớn
- Tiểu tiện ít, hoặc không thể ",0.6619,0.4,0.25,0.5013,0.4,0.6952,0.6667,0.2382,0.9296,0,19643,correct
GP072,ho_hap,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bí đái cơ năng (Long bế) thể Phế nhiệt theo y học cổ truyền?","Bí đái cơ năng (Long bế) thể Phế nhiệt là một chứng bệnh lý trong y học cổ truyền Việt Nam, được mô tả như sau:

**Nguyên nhân:**

Theo y học cổ truyền, nguyên nhân gây ra chứng Bí đái cơ năng (Long bế) thể Phế nhiệt là do Phế khí bị nhiệt độc thịnh, gây ra chứng Phế nhiệt. Phế khí là một trong nhữn",0.6504,0.0,0.0,0.0,0.4,0.705,0.5,0.1584,1.0,0,12902,correct
GP073,xuong_khop,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bí đái cơ năng (Long bế) thể Khí trệ huyết ứ theo y học cổ truyền?","Bí đái cơ năng (Long bế) thể Khí trệ huyết ứ là một loại bệnh lý theo y học cổ truyền, được mô tả như sau:

**Nguyên nhân:**

Theo y học cổ truyền, nguyên nhân gây ra Bí đái cơ năng (Long bế) thể Khí trệ huyết ứ là do sự tích tụ của khí trệ và huyết ứ trong cơ thể, dẫn đến sự chặn nghẽ của đường tiê",0.6822,0.0,0.0,0.0,0.4,0.7724,0.5,0.2081,1.0,0,17709,correct
GP074,tiet_nieu_sinh_duc,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bí đái cơ năng (Long bế) thể Thận khí hư theo y học cổ truyền?","Bí đái cơ năng (Long bế) thể Thận khí hư là một chứng bệnh trong y học cổ truyền Việt Nam, được mô tả như sau:

**Nguyên nhân:**

Theo y học cổ truyền, nguyên nhân của chứng Bí đái cơ năng (Long bế) thể Thận khí hư là do Thận khí hư tổn, Thận dương suy yếu, dẫn đến sự mất cân bằng giữa âm và dương t",0.7242,0.0,0.0,0.0,0.4,0.7848,0.5,0.2018,1.0,0,19869,correct
GP075,ho_hap,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bệnh trĩ (Hạ trĩ) thể Nhiệt độc (tương ứng với trĩ nội độ 1, 2) theo y học cổ truyền?","Bệnh trĩ (Hạ trĩ) thể Nhiệt độc theo y học cổ truyền là một chứng bệnh lý biểu gặp trong các bệnh nhiễm ở giai đoạn sơ khởi, do nhiệt độc xâm nhập vào vệ biểu thân thể con người.

**Nguyên nhân:**

Nhiệt độc xâm nhập vào vệ biểu thân thể con người, gây ra chứng biểu nhiệt, biểu hàn, biểu phong, biểu",0.6208,0.2,0.3333,0.5,0.4,0.8938,0.5,0.0839,1.0,0,23384,correct
GP076,ho_hap,"Hãy mô tả nguyên nhân, triệu chứng và phép trị cho bệnh Bệnh trĩ (Hạ trĩ) thể Huyết ứ (tương ứng với trĩ tắc mạch) theo y học cổ truyền?","Bệnh trĩ thể Huyết ứ (tương ứng với trĩ tắc mạch) theo y học cổ truyền Việt Nam được mô tả như sau:

**Nguyên nhân:**

Theo y học cổ truyền, bệnh trĩ thể Huyết ứ do nhiệt độc ủng kết trong ruột, huyết ứ không tán mà thành bệnh. Nhiệt độc ủng kết trong ruột có thể do ăn uống không điều độ, tiêu hóa k",0.5867,0.4,0.3333,0.5706,0.4,0.8489,0.5,0.2726,0.9852,0,29122,correct
GP077,ho_hap,"Bệnh Bệnh trĩ (Hạ trĩ) thể Thấp nhiệt (tương ứng với trĩ viêm, loét) có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?","Bệnh trĩ (Hạ trĩ) thể Thấp nhiệt (tương ứng với trĩ viêm, loét) là một trong những biểu hiện của bệnh trĩ, đặc trưng bởi tình trạng viêm nhiễm và loét tại vùng hậu môn trực tràng.

Biểu hiện lâm sàng của bệnh trĩ thể Thấp nhiệt bao gồm:

* Chảy máu tươi khi đại tiện, tự cầm khi kết thúc cuộc đi ngoà",0.7723,0.8,1.0,0.9047,0.2,0.6974,0.6667,0.1473,0.8774,0,21448,correct
GP078,tieu_hoa,"Bệnh Bệnh trĩ (Hạ trĩ) thể Khí huyết lưỡng hư (tương ứng trĩ hỗn hợp độ IV, trĩ lâu ngày gây thiếu máu) có các biểu hiện lâm sàng như thế nào và điều trị bằng bài thuốc gì?","Bệnh trĩ (Hạ trĩ) thể Khí huyết lưỡng hư là một bệnh lý phức tạp, bao gồm cả trĩ hỗn hợp độ IV và trĩ lâu ngày gây thiếu máu. Biểu hiện lâm sàng của bệnh này bao gồm:

- Người bệnh thường gầy, bụng trướng, sau án càng nặng, mệt mỏi, đoản hơi, mặt vàng, rêu lưỡi mỏng, chất lưỡi nhạt, mạch hoãn.
- Bện",0.782,0.8,1.0,0.9047,0.2,0.7586,0.5,0.2172,0.9887,0,18834,correct
GF001,xuong_khop,"Bài thuốc Ma hoàng thang thuộc nhóm nào, có công năng và chủ trị như thế nào trong y học cổ truyền?","Bài thuốc Ma hoàng thang thuộc nhóm Phò chính giải biểu. Đây là một loại bài thuốc có tác dụng vừa nâng cao chính khí, vừa giải biểu ""đuổi tà khí"".

Bài thuốc Ma hoàng thang có công năng và chủ trị như sau:

- Công năng: Nâng cao chính khí, giải biểu ""đuổi tà khí"".
- Chủ trị: Thường sử dụng đối với ",0.6875,0.2,0.5,0.6309,0.4,0.9217,0.2,0.4178,0.8313,0,19367,partial
GF002,ho_hap,"Bài thuốc Quế chi thang thuộc nhóm nào, có công năng và chủ trị như thế nào trong y học cổ truyền?","Bài thuốc Quế chi thang không được đề cập trực tiếp trong các tài liệu đã cung cấp. Tuy nhiên, dựa trên thông tin về bài thuốc Ma hoàng thang, chúng ta có thể biết được rằng Quế chi được sử dụng như một vị thuốc phù trợ để tăng thêm tác dụng tân ôn giải biểu của Ma hoàng.

Bài thuốc Ma hoàng thang đ",0.684,0.0,0.0,0.0,0.4,0.7955,0.2,0.2078,0.9435,0,16893,partial
GF003,ho_hap,"Bài thuốc Tang cúc ấm thuộc nhóm nào, có công năng và chủ trị như thế nào trong y học cổ truyền?","Tôi xin lỗi vì tài liệu không đề cập đến bài thuốc Tang cúc ấm. Tuy nhiên, dựa trên kiến thức về y học cổ truyền, tôi có thể cung cấp thông tin về bài thuốc này.

Bài thuốc Tang cúc ấm là một bài thuốc cổ truyền trong y học cổ truyền Việt Nam. Bài thuốc này thường được sử dụng để điều trị các chứng ",0.6451,0.0,0.0,0.0,0.4,0.6769,0.1667,0.1822,0.0,0,15850,partial
GF004,tieu_hoa,"Bài thuốc Ngân kiều tán thuộc nhóm nào, có công năng và chủ trị như thế nào trong y học cổ truyền?","Bài thuốc không được đề cập trong các đoạn tài liệu bạn cung cấp. Tuy nhiên, dựa trên thông tin bạn cung cấp, tôi có thể trả lời câu hỏi về nguyên tắc tạo thành bài thuốc và cách phối hợp các vị thuốc trong một bài thuốc.

Bài thuốc đông y được tạo thành bởi một hoặc nhiều vị thuốc bào chế theo một ",0.6593,0.0,0.0,0.0,0.4,0.9057,0.0,0.2818,0.9122,0,17788,partial
GF005,tieu_hoa,"Bài thuốc Ngũ vị tiêu độc ẩm thuộc nhóm nào, có công năng và chủ trị như thế nào trong y học cổ truyền?","Bài thuốc Ngũ vị tiêu độc ẩm thuộc nhóm thuốc giải biểu công lý. Đây là một loại thuốc đông y được sử dụng để điều trị các hội chứng bệnh lý bên ngoài có biểu chứng, bên trong có thực nhiệt tích trệ.

Ngũ vị tiêu độc ẩm là một bài thuốc gồm 5 vị thuốc có tác dụng tiêu độc và giải biểu. Các vị thuốc ",0.7305,0.0,0.0,0.0,0.4,0.9114,0.1667,0.302,0.9026,0,18643,partial
GF006,tieu_hoa,"Bài thuốc Long đởm tả can thang thuộc nhóm nào, có công năng và chủ trị như thế nào trong y học cổ truyền?","Bài thuốc Long đởm tả can thang thuộc nhóm thuốc thanh can đởm kinh thấp nhiệt. Bài thuốc này được sử dụng để điều trị chứng can đởm kinh thấp nhiệt.

Bài thuốc Long đởm tả can thang có thành phần bao gồm:

- Long đởm thảo (rượu sao) 12g
- Hoàng cầm 8g
- Trạch tả 8g
- Mộc thông 8g
- Đương quy (rượu ",0.6236,0.2,1.0,1.0,0.4,0.9492,0.1667,0.7469,0.9113,0,19036,partial
GF007,tieu_hoa,"Bài thuốc Cát căn cầm liên thang gia vị thuộc nhóm nào, có công năng và chủ trị như thế nào trong y học cổ truyền?","Bài thuốc Cát căn cầm liên thang gia vị không được đề cập cụ thể trong các tài liệu đã được trích dẫn. Tuy nhiên, dựa trên tên bài thuốc, có thể suy đoán rằng nó liên quan đến việc điều trị các vấn đề về tiêu hóa hoặc đường ruột.

Cát căn (Cassia obtusifolia) là một loại thảo mộc được sử dụng trong ",0.7182,0.0,0.0,0.0,0.4,0.6891,0.1667,0.133,0.8557,0,18618,partial
GF008,tieu_hoa,"Bài thuốc Bạch thược thang gia vị thuộc nhóm nào, có công năng và chủ trị như thế nào trong y học cổ truyền?","Bài thuốc Bạch thược thang gia vị không được đề cập trực tiếp trong các đoạn tài liệu cung cấp. Tuy nhiên, chúng ta có thể tìm hiểu về Bạch thược và tác dụng của nó trong y học cổ truyền.

Bạch thược là một loại dược liệu trong y học cổ truyền Việt Nam, được sử dụng để chữa nhiều bệnh khác nhau. Tro",0.6883,0.0,0.0,0.0,0.4,0.7396,0.2,0.1869,0.9217,0,14789,partial
GF010,ho_hap,"Bài thuốc Tứ nghịch thang thuộc nhóm nào, có công năng và chủ trị như thế nào trong y học cổ truyền?","Bài thuốc Tứ nghịch thang thuộc nhóm thuốc ""thông xị"" trong y học cổ truyền.

Tứ nghịch thang là một bài thuốc cổ truyền được sử dụng để điều trị các bệnh về đường hô hấp, đặc biệt là ho và viêm phổi. Bài thuốc này được tạo thành từ bốn vị thuốc chính:

1. Thông bạch (Bambusa tulda)
2. Đạm đậu xị (P",0.689,0.0,0.0,0.0,0.4,0.6686,0.2,0.1568,0.9374,0,3281,partial
