herb_id,herb_name,herb_name_latin,nature_vi,temp_property,yin_yang,element_group,category_vi,meridian,indication_vi,safety_note,data_source
H079,Phòng kỷ (Rễ),Radix Stephaniae tetrandrae,Khổ,Hàn,Âm,"Thủy, Thổ",Thuốc khử phong thấp,"Thận, Tỳ, Bàng quang","Lợi thủy tiêu thũng, khu phong chỉ thống. Chủ trị: Thủy thũng, thấp cước khí, tiểu tiện không thông lợi, thấp chân, nhọt độc, phong thấp tê đau.",Suy nhược hàn tính không nên dùng.,"https://duocdienvietnam.com/phong-ky/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 321"
H080,Thanh cao,Herba Artemisiae apiaceae,"Khổ, vi tân",Vi hàn,Âm,Mộc,Thuốc thanh nhiệt giáng hỏa,"Can, Đởm","Thanh nhiệt giải thử, lương huyết thoái hư nhiệt. Chủ trị: Bệnh lao nhiệt, một số chứng sốt do phế lao, sốt rét, chứng hàn nhiệt vãng lai, ra mồ hôi trộm. Trúng thử.","Người khí hư, ỉa lỏng không nên dùng.","https://duocdienvietnam.com/thanh-cao/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 213"
H081,Thiên trúc hoàng,Concretio Silicae Bambusae,Cam,Hàn,Âm,Hỏa,Thuốc hóa đàm nhiệt,Tâm,"Công năng: Trừ đàm nhiệt, thanh tâm, trấn kinh. Chủ trị: Tinh thần hôn ám, trúng phong đàm mê tâm khiếu. Trẻ em kinh giật và dạ đề do đàm nhiệt.",Những người không có đàm nhiệt không nên dùng,"https://duocdienvietnam.com/thien-truc-hoang/
category_vi, safety_notei:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 240"
H082,Thuyền thoái,Periostracum Cicadae,Cam,Hàn,Âm,"Kim, Mộc",Thuốc giải biểu cay mát,"Phế, Can","Công năng: Tán phong nhiệt, giải kinh, thấu chẩn, tiêu màng. Chủ trị; Cảm mạo phong nhiệt, đau họng, tiếng khàn; sởi không mọc, phong chân ngứa, mắt đỏ có màng, kinh phong.","Chứng hư không do phong nhiệt, phụ nữ có thai không nên dùng.","https://duocdienvietnam.com/thuyen-thoai/
category_vi:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 180"
H083,Tiền hồ (Rễ),Radix Peucedani,"Khổ, tân",Vi hàn,Âm,"Kim, Thổ",Thuốc thanh phế chỉ khái,"Phế, Tỳ","Công năng: Tán phong thanh nhiệt, giáng khí, hóa đàm. Chủ trị: Ho và suyễn do phế thực nhiệt có nhiều đàm màu hơi vàng và dính, ho do ngoại cảm phong nhiệt.","Không dùng cho thể âm hư dẫn đến ho khan, hoặc ho đàm hàn, loãng","https://duocdienvietnam.com/tien-ho-re/
category_vi, safety_notei:  Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 250"
H084,Quế chi,Ramulus Cinnanomi,"Tân, cam",Ôn,Dương,"Kim, Hỏa, Thủy",Thuốc giải biểu cay ấm,"Phế, Tâm, Bàng quang","Công dụng: Giải biểu tán hàn. Thông dương khí. Làm ấm kinh thông mạch. Hành huyết giảm đau. Làm ấm thận hành thủy. Kích thích tuyến mồ hôi, giãn mạch, cường tim, kích thích tiêu hóa.
Chủ trị: Cảm mạo phong hàn, sốt cao, rét run, không mồ hôi. Dương khí ứ trệ gây phù nề, đờm ẩm, khí huyết lưu thông kém. Đau nhức xương khớp do phong hàn thấp trệ. Bế kinh, ứ huyết, đau bụng do lạnh, thai chết lưu. Tiểu tiện bí tức, hen suyễn do thận dương suy yếu.","Những người có chứng thấp nhiệt, âm hư hỏa vượng, đau bụng, các chứng xuất huyết, phụ nữ có thai không được dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 166"
H085,Sinh khương (Gừng tươi),Rhizoma Zingiberis,Tân,Ôn,Dương,"Kim, Thổ",Thuốc giải biểu cay ấm,"Phế, Vị, Tỳ","Công dụng: Phát tán phong hàn. Làm ấm vị (ấm dạ dày), chỉ ẩu (hết nôn lợm). Hóa đờm chỉ ho (hết đờm, ngừng ho). Lợi niệu tiêu phù thũng. Giải độc khử trùng: dùng khi giun đũa chui ống mật, tắc ruột do giun đũa hoặc giải độc khi ăn cua, cá bị dị ứng. Tác dụng dược lý: Gây co mạnh, hưng phấn thần kinh trung ương và giao cảm, tăng tuần hoàn, tăng huyết áp, ức chế trung tâm nôn, kháng khuẩn. 
Chủ trị: Cảm mạo do phong hàn gây ra. Bụng đầy trướng, đau bụng không tiêu, nôn mửa do lạnh. Phụ nữ sau đẻ bị cảm lạnh, khí huyết ngưng trệ, chân tay lạnh. Ho do viêm khí quản. Phù mới mắc (dùng vỏ gừng). Rửa vết thương, trị mẩn ngứa.",Những người bị ho do phế nhiệt và nôn do vị nhiệt thì không nên dùng. Trẻ dưới 1 tuổi bị ho khi dùng nước gừng tắm cần tránh gió và lau khô sau tắm.,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 168-169"
H086,Khương hoạt,Rhizoma et Radix Notopterygii,"Tân, khổ",Ôn,Dương,"Mộc, Thủy",Thuốc giải biểu cay ấm,"Can, Thận, Bàng quang","Công dụng: Tán hàn giải biểu, trừ thấp chỉ thống (giảm đau). Có tính ôn táo, dùng tốt cho các chứng thấp đau nhức xương cốt từ lưng trở lên.
Chủ trị: Trị cảm mạo phong hàn, sốt không có mồ hôi, đau đầu, toàn thân đau mỏi. Trị bệnh phong thấp dẫn đến đau lưng, đau xương cốt cấp tính, viêm khớp thể phong thấp.","Những người huyết hư, không phải do nguyên nhân phong hàn thì không dùng. Thuốc mang tính ôn táo, dễ làm hao tổn tân dịch.","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 172-173"
H087,Hành (Thông bạch),Herba Allii fistulosi.,Tân,Ôn,Dương,"Kim, Thổ",Thuốc giải biểu cay ấm,"Phế, Vị","Công dụng: Làm ra mồ hôi, hoạt huyết thông dương khí, kiện vị giảm đau và lợi tiểu tiện. Dược liệu còn có tác dụng sát khuẩn, diệt ký sinh trùng, cố thận, xúc tiến sự phân tiết dịch men tiêu hóa và ức chế các loại vi khuẩn như trực khuẩn lỵ, nấm ngoài da.
Chủ trị: Trị cảm mạo phong hàn mới mắc, sốt không ra mồ hôi và các trường hợp huyết ứ trệ gây cấm khẩu. Trị bụng đầy trướng đau, đại tiện lỏng, tiểu tiện bí tắc, di tinh, mụn nhọt viêm da có mủ, giun chui ống mật và giải độc khi bị dị vật đâm vào da.","Những người biểu hư, mồ hôi nhiều không nên dùng. Không uống lẫn hành với mật ong (tương kỵ)","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 173-174"
H088,Hương nhu,Herba Ocimi sancti,Tân,Ôn,Dương,"Kim, Thổ",Thuốc giải biểu cay ấm,"Phế, Vị","Công dụng: Giải cảm (cả cảm hàn và cảm nhiệt), hoá thấp kiện vị. Giúp lợi niệu, tiêu phù thũng, sát khuẩn và có tác dụng làm lên tóc. Tinh dầu hương nhu có tác dụng làm giãn mạch máu ở thận, tăng áp lực lọc để lợi niệu và kháng khuẩn, diệt lỵ amíp.","Những người biểu hư, mồ hôi nhiều không nên dùng.","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 174-175"
H089,Cam thảo,Radix Glycyrrhizae,Cam,Bình,Trung tính (Thiên Dương),"Mộc, Thổ",Thuốc bổ khí,"Can, Tỳ và thông hành 12 kinh","Công năng: Ích khí dưỡng huyết, nhuận phế chỉ ho, tả hỏa giải độc, hoãn cấp chỉ thống.
Chủ trị: Khí huyết hư nhược, mệt mỏi, thiếu máu, đau họng, viêm họng cấp và mạn, viêm amidan, ho nhiều đàm, mụn nhọt, đinh độc, sưng đau, đau dạ dày, đau bụng, gân mạch co rút, hỗ trợ điều trị gãy xương, tổn thương phần mềm.","Nếu tỳ vị có thấp trệ, sôi bụng, đầy bụng không dùng. Cam thảo dùng lâu dễ bị phù nề","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 288"
H090,Tô diệp (Tía tô),Folium Perillae,Tân,Ôn,Dương,"Thổ, Kim",Thuốc giải biểu cay ấm,"Tỳ, Phế","Công năng: Giải biểu tán hàn, phát hãn, hành khí hòa trung, kiện vị chỉ nôn, khử đờm chỉ khái, an thai, giải độc, cường thân.
Chủ trị: Cảm hàn phong hàn gây sốt, đau đầu, nhức mỏi, đau răng, tỳ vị khí trệ gây đầy trướng, ăn uống không tiêu, buồn nôn, nôn, ho có đờm nhiều, viêm phế quản mạn, phụ nữ có thai nôn nghén, viêm khí quản, viêm phế quản, di tinh, mộng tinh, ngộ độc hải sản, ngộ độc thức ăn, dùng ngoài sát khuẩn, giải độc mụn nhọt, làm sạch môi trường.","Những người biểu hư, mồ hôi nhiều, mồ hôi trộm không nên dùng. Chất dầu của quả tía tô có tác dụng gây đại tiện lỏng, do vậy những người ăn uống không tiêu, đại tiện lỏng không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 171"
H091,Bán hạ (nam),Rhizoma Typhonii,Tân,Ôn,Dương,Thổ,Thuốc hóa đàm hàn,"Tỳ, Vị","Công năng: Làm ráo thấp, trừ đàm, chỉ ho, giáng nghịch, chỉ nôn, tiêu thũng, giảm đau, giải độc.
Chủ trị: Đàm thấp gây ho nhiều đờm, đàm thấp mạn tính, viêm phế quản mạn, ho kèm buồn nôn, khí nghịch gây nôn ói, nôn do đàm trệ, đau do rắn cắn, sưng đau, viêm nhiễm ngoài da.","Những người có chứng táo, nhiệt, không nên dùng, người có thai dùng cần thận trọng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 235"
H092,Trần bì,Pericarpium Citri,"Khổ, tân",Ôn,Dương,"Thổ, Kim",Thuốc hành khí giải uất,"Tỳ, Phế","Công năng: Hành khí hòa vị, chỉ nôn chỉ tả, hóa đàm ráo thấp, chỉ ho, sơ can hành khí.
Chủ trị: Đau bụng do hàn, khí trệ gây đầy trướng ngực bụng, buồn nôn, nôn, tiêu chảy, ho có đờm, đàm thấp ứ trệ ở ngực, viêm khí quản mạn tính, bệnh sán thống như đau ruột non, đau tinh hoàn, thoát vị bẹn, nhọt ở vú, vú kết hòn cục, sườn ngực đau, phong thấp ước khí.","Những người ho khan, âm hư không có đàm, không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 275"
H093,Hương phụ,Rhizoma Cyperi,"Vi tân, vi khổ",Bình,Trung tính,"Mộc, Thổ",Thuốc hành khí giải uất,"Can, Tỳ, Tam tiêu","Hành khí chỉ thống, giải uất điều kinh, kiện vị tiêu thực. Chủ trị: Đau dạ dày, tiêu hóa kém, đau cơ, đau ngực sườn, đau dây thần kinh ngoại biên, đau đầu, đau bụng kinh, rối loạn kinh nguyệt.",Âm hư huyết nhiệt không nên dùng,"https://duocdienvietnam.com/huong-phu-than-re/
category_vi: Sách ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 274"
H094,Mộc hương,Radix Sausurea lappae,"Tân, khổ",Ôn,Dương,"Kim, Mộc, Thổ",Thuốc hành khí giải uất,"Phế, Can, Tỳ","Công năng: Hành khí chỉ thống, bình can giáng áp.
Chủ trị: Can tỳ vị khí trệ gây ngực bụng đầy trướng, đau bụng, ăn uống không ngon, khó tiêu, đau hông sườn, đau nhức do khí trệ, can dương thịnh gây cao huyết áp.","Chú ý: Vân mộc hương có tác dụng giáng áp. Còn dùng vị nam mộc hương (vỏ rụt) vỏ cây rụt Họ-Rutaceae, với tác dụng của mộc hương","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 279"
H095,Phòng phong,Radix Ledebouriellae seseloidis,"Tân, cam",Vi ôn,Dương,"Mộc, Thủy",Thuốc giải biểu cay ấm,"Can, Bàng quang","Công năng: Giải cảm hàn, trừ phong thấp, giảm đau, giải độc
Chủ trị: Cảm mạo phong hàn xuất hiện sốt rét, đau đầu, ho. Đau nhức xương khớp hoặc đau mình mẩy, buốt cơ, đau nửa đầu. Co quắp, uốn ván và dùng phòng phong giải độc thạch tín","Những người âm hư hỏa vượng không có phong tả không nên dùng, tương sát với thạch tín","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 177"
H096,Độc hoạt,Radix Angelicae pubescentis,"Tân, khổ",Ôn,Dương,"Mộc, Thủy",Thuốc khử phong thấp,"Can, Thận","Công năng: Khử phong thấp, chỉ thống
Chủ trị: Phong hàn thấp tý, tê liệt cơ thể. Đau nhức xương khớp","Những người âm hư, hỏa vượng, huyết hư không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 327"
H097,Tang diệp,Folium Mori,"Khổ, cam",Hàn,Âm,"Mộc, Kim, Thủy",Thuốc giải biểu cay mát,"Can, Phế, Thận","Công năng: Giải cảm nhiệt, cố biểu, liễm hàn, làm hạ huyết áp, hạ đường huyết
Chủ trị: Cảm nhiệt, biểu hiện miệng khát, sốt cao, đau đầu, ho khan. Mồ hôi, mồ hôi trộm, ra mồ hôi ở lòng bàn tay. Kinh can bị phong nhiệt, mắt đỏ sưng đau, viêm màng kết mạc, hoa mắt, chảy nhiều nước mắt, tiêu khát (đái đường)","Chú ý: Khi dùng, lấy lá bánh tẻ, tước bỏ cuống và xơ gân. Lá non nấu canh với tôm chà cho trẻ ăn chữa mồ hôi trộm. Tang diệp có tác dụng ức chế trực khuẩn thương hàn, tụ cầu khuẩn","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 182"
H098,Lô căn,Radix Phragmiti,Cam,Hàn,Âm,"Kim, Thổ",Thuốc thanh nhiệt táo thấp,"Phế, Vị","Công năng: Thanh nhiệt sinh tân dịch, lợi niệu. Thanh phế nhiệt, thanh trừ nhiệt ở vị, làm hết nôn
Chủ trị: Bệnh nhiệt, tâm phiền, miệng khát, tiểu tiện ngắn đỏ. Phong thấp phạm phế nhiệt sinh ho. Vị nhiệt gây nôn lợm, nấc","Chú ý: Thân và rễ lô căn có tác dụng giống nhau, nhưng lực thanh phế của thân mạnh hơn rễ. Có tác dụng hòa tan sỏi mật, có thể trị hoàng đần và viêm khớp cấp tính","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 227"
H099,Cát cánh,Radix Platycodi,"Tân, khổ",Ôn,Dương,Kim,Thuốc hóa đàm hàn,Phế,"Công dụng: Khử đàm chỉ ho, làm thông phế, lợi hầu họng, trừ mũ, tiêu ung thũng
Chủ trị: Ho đàm(Đàm khó khạc ra, đàm nhiều), ngực bứt rứt khó chịu. Kinh phế bị tắc, hầu họng sưng đau như viêm vọng, viêm amiđan. Phế ung, phế có mủ, ngực và cơ hoành đau, ho nôn ra đàm mủ. Ngoài ra còn tiêu trừ khí tích trong dạ dày, ruột","Những người âm hư hỏa vượng ho lâu ngày, ho ra máu đều không nên dùng, dùng lượng lớn quá, sau khi uống, dẫn đến đau tâm, buồn nôn","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 239"
H100,Cát căn,Radix Pueraiae,"Tân, cam",Bình,Trung tính (Thiên Dương),Thổ,Thuốc giải biểu cay mát,"Tỳ, Vị","Công năng: Làm ra mồ hôi, hạ nhiệt, giải độc, làm cho sởi mọc hoàn toàn, sinh tân dịch chỉ khát, thanh tràng chỉ lỵ, thanh tâm nhiệt, hạ huyết nhiệt
Chủ trị: Ngoại cảm phong nhiệt sốt cao, phiền khát, đau đầu; đặc biệt đau vùng sau đầu, vùng chẩm và vùng gáy, hoặc cứng gáy, cổ gáy đau, khó quay đầu. Sốt mà bụng cồn cào, miệng háo khát người khô háo, đại tiện bí kết, đau vùng thượng vị. Đi ngoài lỏng lỵ lâu ngày. Chứng niêm mạc miệng môi lưỡi lở loét, sinh mụn nhọt, các chứng tiểu tiện, tiểu dắt, buốt, nước tiểu đục, bệnh cao huyết áp","Những người thượng tiêu thịnh, hạ tiêu hư, âm hư, hỏa vượng, không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 184"
H101,Ngưu bàng tử,Fructus Arctii,"Tân, khổ",Hàn,Âm,"Kim, Thổ",Thuốc giải biểu cay mát,"Phế, Vị","Công năng: Giải cảm nhiệt, giải độc, làm cho sởi mọc. Ngoài ra còn dùng đối với dị ứng
Chủ trị: Phong nhiệt phạm biểu, gây sốt, miệng khô khát, ho khan viêm amiđan, khạt ra đờm vàng đặc. Ngoài ra còn dùng đối với dị ứng","Những người tỳ hư, tiết tả, không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 181"
H102,Mộc thông,Caulis Clematidis armandi,Khổ,Hàn,Âm,"Hỏa, Kim",Thuốc lợi thấp,"Tâm, Phế, Đại trường, Tiểu trường","Công năng: Lợi thấp, lợi niệu, thông lâm, hành huyết thông kinh
Chủ trị: Bí tiểu tiện, tiểu tiện ngắn đỏ, đái dắt. Kinh nguyệt bế tắc, huyết mạch ứ trệ, mình mẩy đau nhức, đau khớp","Chú ý: Với liều 0,5g/kg, tiêm vào phúc mạc thỏ, có tác dụng lợi tiểu. Uống 3g (3 lần), lượng nước tiểu tăng, nhưng trong nước tiểu lượng Cl- giảm. Dịch chiết cồn 1:20 có thể ức chế nhiều loại vi khuẩn Gram dương và lỵ trực khuẩn, trực khuẩn thương hàn","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 339"
H103,Sài đất,Herba Wedeliae,"Vi hàm, vi khổ",Lương,Âm,"Hỏa, Kim, Thổ",Thuốc chữa mụn nhọt mẩn ngứa,"Tâm, Phế, Vị","Thanh nhiệt giải độc, tiêu viêm. Chủ trị: Mụn nhọt, ngứa lở, dị ứng.",,"https://duocdienvietnam.com/sai-dat/
category_vi: sách những cây thuốc và vị thuốc việt nam trang 87
Link: https://up.nhuttruong.com/file/nhuttruongcom/sach02/TBooks%20-%20Ebook%20Nhung%20cay%20thuoc%20-%20GS.TS.%20Do%20Tat%20Loi%20911132.pdf"
H104,Cẩu tích,Rhizoma Cibotii,"Khổ, cam, vi tân",Ôn,Dương,"Mộc, Thủy",Thuốc bổ dương (thuốc trợ dương),"Can, Thận","Công năng: Bổ can thận, mạnh gân cốt, trừ phong thấp, cố thận
Chủ trị: Can thận yếu, đau lưng, đau khớp, suy tủy, hai chân tê mỏi, nhức trong xương, vô lực. Bệnh đái tháo, đái nhiều không cầm lại được, phụ nữ băng lậu, đới hạ, hoặc các bệnh di tinh, hoạt tinh","Những người thận hư có nhiệt không dùng, âm hư có nhiệt, tiểu tiện không thông, miệng đắng lưỡi khô, không dùng.","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 349"
H105,Đậu sị,Semen Sojae praeparatum,Khổ,Hàn,Âm,"Kim, Thổ",Thuốc chữa cảm sốt,"Phế, Vị","Có tác dụng giải biểu trừ phiền. Dùng làm thuốc thanh nhiệt sơ khởi, khi sốt, khi rét, đầu nhức, ngực đầy trướng, phiền nhiệt",Những người không phải phong hàn ngoại cảm không dùng được,"sách những cây thuốc và vị thuốc việt nam trang 686
Link: https://up.nhuttruong.com/file/nhuttruongcom/sach02/TBooks%20-%20Ebook%20Nhung%20cay%20thuoc%20-%20GS.TS.%20Do%20Tat%20Loi%20911132.pdf"
H106,Hoàng bá,Cortex Phellodendri,Khổ,Hàn,Âm,"Thủy, Thổ",Thuốc bổ thanh nhiệt táo thấp,"Thận, Tỳ, Bàng quang","Công năng: Tư âm giáng hỏa, thanh nhiệt táo thấp, giải độc tiêu viêm
Chủ trị: Âm hư phát sốt, xương đau âm ỉ, ra mồ hôi trộm (đạo hãn), di tinh do thận hỏa. Hạ tiêu thấp nhiệt, cơ thể bị thấp chấn, lỡ ngứa, mụn nhọt","Những người tỳ hư, đại tiện lỏng, vị yếu, ăn uống không tiêu, không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 221"
H107,Chi tử,Fructus Gardeniae,Khổ,Hàn,Âm,"Hỏa, Kim, Mộc",Thuốc thanh nhiệt giáng hỏa,"Tâm, Phế, Can, Đởm, Tam tiêu","Công năng: Thanh nhiệt giáng hỏa, thanh tâm nhiệt trừ phiền, thanh lợi thấp nhiệt, chỉ huyết, giải độc
Chủ trị: Tâm phiền bất an, mất ngủ do tâm hỏa, hoặc sốt cao dãn đến điên cuồng mê sảng. Can đởm thấp nhiệt (viêm gan, viêm túi mật). Huyết nhiệt dẫn đến thổ huyết, mục huyết (chảy máu cam) đại tiểu tiện ra huyết.","Những người tỳ hư, đại tiện lỏng không dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 214"
H108,Long đởm thảo,Radix Gentianae,Khổ,Hàn,Âm,"Mộc, Thủy",Thuốc thanh nhiệt táo thấp,"Can, Đởm, Bàng quang","Công năng: Thanh trừ thấp nhiệt ở hạ tiêu, trừ hỏa độc ở can đởm, thanh phế hỏa, trừ hỏa độc phần dinh huyết, bình can hạ áp, giải độc, trừ giun đũa
Chủ trị: Mắt đau đỏ, sưng thũng viêm kết mạc do can hỏa dẫn đến hoặc dùng trong bệnh can đởm thấp nhiệt, bệnh viêm gan vàng da. Viêm nhiễm đường hô hấp trên như viêm họng, viêm amiđan, ngoài ra còn dùng trong bệnh viêm tai giữa, tai có mũ, bệnh tinh hoàn cấp tính. Thương hàn, sốt cao phát cuồng, huyết áp cao, đau đầu","Những người tỳ vị hư nhược, âm hư phát sốt không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 223"
H109,Sinh địa,Radix Rehmaniae,Khổ,Hàn,Âm,"Hỏa, Mộc, Thủy",Thuốc thanh nhiệt lương huyết,"Tâm, Can, Thận","Công năng: Thanh nhiệt lương huyết, dưỡng âm, sinh tân dịch, chỉ khát
Chủ trị: Dùng đối với bệnh tà nhiệt nhập vào phần dinh, biểu hiện sốt cao, miệng khát, lưỡi đỏ tâm phiền. Thuốc bản chất có nhiều dịch nhuận cót hể dưỡng âm. Vị ngọt có tính hàn có thể sinh tân dịch, cho nên có thể dưỡng âm, nhuận táo kết. Sau thời kỳ bị sốt hoặc bị nhiệt, nhiệt làm thương tổn đến tân dịch. Sinh địa còn dùng để trị bệnh đái đường có kết quả","Do thuốc có nhiều dịch, bản chất của nó là trệ nhờn cho nên những người tỳ hư, bụng đầy, đại tiện lỏng và dương hư, nhiều đờm thấp nhiệt đều không dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 229"
H110,Thục địa,Radix Rhemaniae praeparatus,Cam,Ôn,Dương,"Hỏa, Mộc, Thủy",Thuốc bổ huyết,"Tâm, Can, Thận","Công năng: Tư âm, dưỡng huyết, sinh tân dịch, chỉ khát, nuôi dưỡng và bổ thận âm
Chủ trị: Các trường hợp thiếu máu, chóng mặt, đau đầu, tân dịch khô sáp, mắt khô rom, nứt nẻ môi, râu tóc sớm bạc, lưng đau, gối mỏi. Bệnh tân dịch hao tổn, háo khát, chức năng thận âm kém (thận ân bất túc), dẫn đến ù tai, di mộng tinh, tự hãn, phụ nữ kinh nguyệt không đều huyết hư sinh đau đầu","Chú ý: Những người tỳ vị hư hàn không nên dùng. Dùng thục địa lâu dễ ảnh hưởng đến tiêu hóa, do đó khi dùng có thể phối hợp thêm thuốc hành khí như trần bì, hương phụ để tránh hiện tượng đầy bụng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 311"
H111,Sa tiền tử,Semen Plantaginis,Cam,Hàn,Âm,"Mộc, Thủy, Hỏa",Thuốc lợi thấp,"Can, Thận, Tiểu trường","Công năng: Thanh nhiệt, lợi thấp, thanh thấp nhiệt tỳ vị, thanh phế hóa đờm, ích thận cố tinh
Chủ trị: Chứng thấp nhiệt, tiểu tiện khó khăn, đi tiểu đau buốt, đái dắt, nước tiểu đỏ đục, nóng và lượng rất ít, thậm chí đi tiểu ra máu. Ngoài ra, còn trị viêm thận cấp tính, viêm dương niệu đạo, viêm bàng quang cấp, sỏi niệu đạo. Trị ỉa chảy và viêm đường ruột, trị bệnh lỵ, phế nhiệt, sinh ho, ho có đờm, mắt đỏ, hoa mắt. Hạt mã đề còn dùng cho những người không sinh con được hoặc lâu ngày không đẻ lại được, còn dùng chữa ho ra máu, hạ huyết áp","Chú ý: Lá mã đề còn được dùng lợi niệu, viêm nhiễm đường niệu (giống như hạt), lá giã nát đắp mụn nhọt có kết quả. Dùng bộ phận trên mặt đất để phòng và chữa bệnh quai bị (đối với trẻ em). Dịch ép tươi của bộ phận trên mặt đất có tác dụng chống loét dạ dày và tá tràng. Những người thận hư không thấp nhiệt không nên dùng. Khi dùng thường sao cho hạt khô phồng, vị thuốc có tác dụng ức chế trực khuẩn lỵ. Hạt mã đề có tác dụng tăng cường bài tiết nước tiểu, tăng bài tiết lượng acid uric, lượng muối NaCl. Chất glycozid chiết ra từ hạt, có tác dụng ức chế trung khu hô hấp, xúc tiến sự phân tiết ở niêm mạc đường hô hấp (cho nên có thể dùng trấn ho trừ đờm). Ngoài ra mã đề còn có tác dụng hạ huyết áp","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 334"
H112,Đại hoàng,Radix Rhei,Khổ,Hàn,Âm,"Mộc, Thổ, Kim",Thuốc tả hạ có tính hàn,"Can, Tỳ, Vị, Đại trường, Tâm bào","Công năng: Thanh trường thông tiện, tà hỏa giải độc, trục ứ thông kinh
Chủ trị: Vị tràng thực nhiệt dẵn đến bí kết, thậm chí có khi dẫn đến sốt nói mê sảng, phát cuồng. Tả hỏa độc dẫn đến nôn ra máu, chảy máu mũi, màng kết hợp sung huyết, sung huyết não, lợi bị phù. Bế tích chỉ hoặc ngã chấn thương ứ huyết sưng đau","Phụ nữ có thai, lúc có kinh nguyệt không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 361"
H113,Binh lang,Semen Arecae,"Tân, khổ",Ôn,Dương,"Thổ, Kim",Thuốc trừ giun sán,"Vị, Đại trường","Công năng: Khử trùng, tiêu tích, lợi thủy tiêu phù, hành khí thông tiện
Chủ trị: Sán dây, sán mơ mít. giun đũa, giun kim, dùng trong các trường hợp bụng đầy tích, đau do các nguyên nhân trên. Tiểu tiện khó khăn, đái buốt, phù nể, đặc biệt đối với bệnh hàn thấp cước khí chân phù, ngực bí bích, buồn nôn. Khí trệ, đại tiện bí táo, bụng đày trướng, khó tiêu","Vị thuốc có sức hành khí phá khí tương đối mạnh, những cơ thể hư nhược không nên dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 383"
